code,name,level,parent
A,ALIMENTARY TRACT AND METABOLISM,1,
B,BLOOD AND BLOOD FORMING ORGANS,1,
C,CARDIOVASCULAR SYSTEM,1,
D,DERMATOLOGICALS,1,
G,GENITO URINARY SYSTEM AND SEX HORMONES,1,
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",1,
J,ANTIINFECTIVES FOR SYSTEMIC USE,1,
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,1,
M,MUSCULO-SKELETAL SYSTEM,1,
N,NERVOUS SYSTEM,1,
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",1,
R,RESPIRATORY SYSTEM,1,
S,SENSORY ORGANS,1,
V,VARIOUS,1,
A01,STOMATOLOGICAL PREPARATIONS,2,A
A02,DRUGS FOR ACID RELATED DISORDERS,2,A
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,2,A
A04,ANTIEMETICS AND ANTINAUSEANTS,2,A
A05,BILE AND LIVER THERAPY,2,A
A06,DRUGS FOR CONSTIPATION,2,A
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",2,A
A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",2,A
A09,"DIGESTIVES, INCL. ENZYMES",2,A
A10,DRUGS USED IN DIABETES,2,A
A11,VITAMINS,2,A
A12,MINERAL SUPPLEMENTS,2,A
A13,TONICS,2,A
A14,ANABOLIC AGENTS FOR SYSTEMIC USE,2,A
A15,APPETITE STIMULANTS,2,A
A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,2,A
B01,ANTITHROMBOTIC AGENTS,2,B
B02,ANTIHEMORRHAGICS,2,B
B03,ANTIANEMIC PREPARATIONS,2,B
B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,2,B
B06,OTHER HEMATOLOGICAL AGENTS,2,B
C01,CARDIAC THERAPY,2,C
C02,ANTIHYPERTENSIVES,2,C
C03,DIURETICS,2,C
C04,PERIPHERAL VASODILATORS,2,C
C05,VASOPROTECTIVES,2,C
C07,BETA BLOCKING AGENTS,2,C
C08,CALCIUM CHANNEL BLOCKERS,2,C
C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,2,C
C10,LIPID MODIFYING AGENTS,2,C
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,2,D
D02,EMOLLIENTS AND PROTECTIVES,2,D
D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,2,D
D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",2,D
D05,ANTIPSORIATICS,2,D
D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,2,D
D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",2,D
D08,ANTISEPTICS AND DISINFECTANTS,2,D
D09,MEDICATED DRESSINGS,2,D
D10,ANTI-ACNE PREPARATIONS,2,D
D11,OTHER DERMATOLOGICAL PREPARATIONS,2,D
G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,2,G
G02,OTHER GYNECOLOGICALS,2,G
G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,2,G
G04,UROLOGICALS,2,G
H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,2,H
H02,CORTICOSTEROIDS FOR SYSTEMIC USE,2,H
H03,THYROID THERAPY,2,H
H04,PANCREATIC HORMONES,2,H
H05,CALCIUM HOMEOSTASIS,2,H
J01,ANTIBACTERIALS FOR SYSTEMIC USE,2,J
J02,ANTIMYCOTICS FOR SYSTEMIC USE,2,J
J04,ANTIMYCOBACTERIALS,2,J
J05,ANTIVIRALS FOR SYSTEMIC USE,2,J
J06,IMMUNE SERA AND IMMUNOGLOBULINS,2,J
J07,VACCINES,2,J
L01,ANTINEOPLASTIC AGENTS,2,L
L02,ENDOCRINE THERAPY,2,L
L03,IMMUNOSTIMULANTS,2,L
L04,IMMUNOSUPPRESSANTS,2,L
M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,2,M
M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,2,M
M03,MUSCLE RELAXANTS,2,M
M04,ANTIGOUT PREPARATIONS,2,M
M05,DRUGS FOR TREATMENT OF BONE DISEASES,2,M
M09,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,2,M
N01,ANESTHETICS,2,N
N02,ANALGESICS,2,N
N03,ANTIEPILEPTICS,2,N
N04,ANTI-PARKINSON DRUGS,2,N
N05,PSYCHOLEPTICS,2,N
N06,PSYCHOANALEPTICS,2,N
N07,OTHER NERVOUS SYSTEM DRUGS,2,N
P01,ANTIPROTOZOALS,2,P
P02,ANTHELMINTICS,2,P
P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",2,P
R01,NASAL PREPARATIONS,2,R
R02,THROAT PREPARATIONS,2,R
R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,2,R
R05,COUGH AND COLD PREPARATIONS,2,R
R06,ANTIHISTAMINES FOR SYSTEMIC USE,2,R
R07,OTHER RESPIRATORY SYSTEM PRODUCTS,2,R
S01,OPHTHALMOLOGICALS,2,S
S02,OTOLOGICALS,2,S
S03,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,2,S
V01,ALLERGENS,2,V
V03,ALL OTHER THERAPEUTIC PRODUCTS,2,V
V04,DIAGNOSTIC AGENTS,2,V
V06,GENERAL NUTRIENTS,2,V
V07,ALL OTHER NON-THERAPEUTIC PRODUCTS,2,V
V08,CONTRAST MEDIA,2,V
V09,DIAGNOSTIC RADIOPHARMACEUTICALS,2,V
V10,THERAPEUTIC RADIOPHARMACEUTICALS,2,V
V20,SURGICAL DRESSINGS,2,V
A01A,STOMATOLOGICAL PREPARATIONS,3,A01
A02A,ANTACIDS,3,A02
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),3,A02
A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,3,A02
A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,3,A03
A03B,"BELLADONNA AND DERIVATIVES, PLAIN",3,A03
A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,3,A03
A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,3,A03
A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,3,A03
A03F,PROPULSIVES,3,A03
A04A,ANTIEMETICS AND ANTINAUSEANTS,3,A04
A05A,BILE THERAPY,3,A05
A05B,"LIVER THERAPY, LIPOTROPICS",3,A05
A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,3,A05
A06A,DRUGS FOR CONSTIPATION,3,A06
A07A,INTESTINAL ANTIINFECTIVES,3,A07
A07B,INTESTINAL ADSORBENTS,3,A07
A07C,ELECTROLYTES WITH CARBOHYDRATES,3,A07
A07D,ANTIPROPULSIVES,3,A07
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,3,A07
A07F,ANTIDIARRHEAL MICROORGANISMS,3,A07
A07X,OTHER ANTIDIARRHEALS,3,A07
A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",3,A08
A09A,"DIGESTIVES, INCL. ENZYMES",3,A09
A10A,INSULINS AND ANALOGUES,3,A10
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",3,A10
A10X,OTHER DRUGS USED IN DIABETES,3,A10
A11A,"MULTIVITAMINS, COMBINATIONS",3,A11
A11B,"MULTIVITAMINS, PLAIN",3,A11
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",3,A11
A11D,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",3,A11
A11E,"VITAMIN B-COMPLEX, INCL. COMBINATIONS",3,A11
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",3,A11
A11H,OTHER PLAIN VITAMIN PREPARATIONS,3,A11
A11J,"OTHER VITAMIN PRODUCTS, COMBINATIONS",3,A11
A12A,CALCIUM,3,A12
A12B,POTASSIUM,3,A12
A12C,OTHER MINERAL SUPPLEMENTS,3,A12
A13A,TONICS,3,A13
A14A,ANABOLIC STEROIDS,3,A14
A14B,OTHER ANABOLIC AGENTS,3,A14
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,3,A16
B01A,ANTITHROMBOTIC AGENTS,3,B01
B02A,ANTIFIBRINOLYTICS,3,B02
B02B,VITAMIN K AND OTHER HEMOSTATICS,3,B02
B03A,IRON PREPARATIONS,3,B03
B03B,VITAMIN B12 AND FOLIC ACID,3,B03
B03X,OTHER ANTIANEMIC PREPARATIONS,3,B03
B05A,BLOOD AND RELATED PRODUCTS,3,B05
B05B,I.V. SOLUTIONS,3,B05
B05C,IRRIGATING SOLUTIONS,3,B05
B05D,PERITONEAL DIALYTICS,3,B05
B05X,I.V. SOLUTION ADDITIVES,3,B05
B05Z,HEMODIALYTICS AND HEMOFILTRATES,3,B05
B06A,OTHER HEMATOLOGICAL AGENTS,3,B06
C01A,CARDIAC GLYCOSIDES,3,C01
C01B,"ANTIARRHYTHMICS, CLASS I AND III",3,C01
C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,3,C01
C01D,VASODILATORS USED IN CARDIAC DISEASES,3,C01
C01E,OTHER CARDIAC PREPARATIONS,3,C01
C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",3,C02
C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",3,C02
C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",3,C02
C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",3,C02
C02K,OTHER ANTIHYPERTENSIVES,3,C02
C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,3,C02
C02N,COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02,3,C02
C03A,"LOW-CEILING DIURETICS, THIAZIDES",3,C03
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",3,C03
C03C,HIGH-CEILING DIURETICS,3,C03
C03D,POTASSIUM-SPARING AGENTS,3,C03
C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,3,C03
C03X,OTHER DIURETICS,3,C03
C04A,PERIPHERAL VASODILATORS,3,C04
C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,3,C05
C05B,ANTIVARICOSE THERAPY,3,C05
C05C,CAPILLARY STABILIZING AGENTS,3,C05
C07A,BETA BLOCKING AGENTS,3,C07
C07B,BETA BLOCKING AGENTS AND THIAZIDES,3,C07
C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,3,C07
C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",3,C07
C07E,BETA BLOCKING AGENTS AND VASODILATORS,3,C07
C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",3,C07
C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,3,C08
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,3,C08
C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,3,C08
